instance_id,stakeholder,chosen,utility,runner_up,margin,U_SHAP,U_LIME,U_Counterfactual,U_Rules
9784,doctor,Counterfactual,0.6948403247116753,Rules,0.03625838292550354,0.5282536309087095,0.44210345709077303,0.6948403247116753,0.6585819417861718
9784,patient,Counterfactual,0.7538356637927807,Rules,0.22016693572264256,0.36643856073837505,0.42935389293516013,0.7538356637927807,0.5336687280701381
9784,auditor,SHAP,0.7839825079904547,Rules,0.19965734418214154,0.7839825079904547,0.5579092693877308,0.4195741992311344,0.5843251638083131
9784,model_centric,SHAP,0.9799781349880683,LIME,0.1159248815867382,0.9799781349880683,0.8640532534013301,0.5939121934833624,0.7512397880937247
5718,doctor,Counterfactual,0.808728566042205,SHAP,0.10848161525177613,0.7002469507904289,0.5825914606195145,0.808728566042205,0.4559976114792793
5718,patient,Counterfactual,0.7917984109029572,Rules,0.09059285787018156,0.5149317922287672,0.5213244485925432,0.7917984109029572,0.7012055530327757
5718,auditor,SHAP,0.771155986971713,Counterfactual,0.04787981085916604,0.771155986971713,0.6196485876272265,0.7232761761125469,0.5611008541035715
5718,model_centric,Counterfactual,0.973539664585128,SHAP,0.00959468087048676,0.9639449837146412,0.9412274012006998,0.973539664585128,0.7222094009627976
20699,doctor,Counterfactual,0.7596409646883022,Rules,0.07154572659306413,0.6859998757006204,0.5371457821806287,0.7596409646883022,0.6880952380952381
20699,patient,Counterfactual,0.775435877118323,Rules,0.13972159140403717,0.45464532713703537,0.3421349056760361,0.775435877118323,0.6357142857142858
20699,auditor,SHAP,0.8,Rules,0.016666666666666607,0.8,0.60802345246348,0.5923759058354726,0.7833333333333334
20699,model_centric,SHAP,1.0,Rules,0.0,1.0,0.9266959822460166,0.8099143267387852,1.0
16030,doctor,Counterfactual,0.8064010235603519,SHAP,0.1121893129370235,0.6942117106233284,0.5280334862224807,0.8064010235603519,0.6216520974242614
16030,patient,Counterfactual,0.7910225634090062,Rules,0.17745599125171263,0.5096542762705489,0.3599450069588883,0.7910225634090062,0.6135665721572936
16030,auditor,SHAP,0.7941249113824735,Counterfactual,0.07705551522153498,0.7941249113824735,0.6179119346069459,0.7170693961609386,0.6651764323746803
16030,model_centric,SHAP,0.9926561392280919,Counterfactual,0.026874949582474272,0.9926561392280919,0.939056584925349,0.9657811896456177,0.8523038738016836
4509,doctor,SHAP,0.5115225920761974,Rules,0.11152259207619747,0.5115225920761974,0.3710746023960396,0.35,0.39999999999999997
4509,patient,Rules,0.6777777777777777,Counterfactual,0.18927718185077946,0.456965699255032,0.36581351114325233,0.48850059592699824,0.6777777777777777
4509,auditor,SHAP,0.642257420941565,LIME,0.2910759123917682,0.642257420941565,0.3511815085497968,-0.0611111111111111,-0.00555555555555555
4509,model_centric,SHAP,0.8028217761769563,LIME,0.19717822382304373,0.8028217761769563,0.6056435523539125,0.0,0.0
2250,doctor,Counterfactual,0.7504014813977276,SHAP,0.07061939161761521,0.6797820897801123,0.5584779238682608,0.7504014813977276,0.3913776810371109
2250,patient,Counterfactual,0.7723560493547981,Rules,0.06411904456465001,0.4585964210475578,0.41656492026007896,0.7723560493547981,0.7082370047901481
2250,auditor,SHAP,0.799889371102735,LIME,0.20249964789581498,0.799889371102735,0.59738972320692,0.5677372837272736,0.38532827018736787
2250,model_centric,SHAP,0.9998617138784187,LIME,0.08645789320310215,0.9998617138784187,0.9134038206753166,0.7791160491035365,0.49554922662309875
16458,doctor,Counterfactual,0.7830288428667646,Rules,0.13452600124705139,0.6409397600660041,0.5180328947872843,0.7830288428667646,0.6485028416197132
16458,patient,Counterfactual,0.7832318365111437,Rules,0.15595311152679492,0.45901256058341555,0.46154216707061607,0.7832318365111437,0.6272787249843488
16458,auditor,SHAP,0.7319296281366743,Counterfactual,0.07718604715863531,0.7319296281366743,0.5801053364556862,0.654743580978039,0.6235298049636284
16458,model_centric,SHAP,0.9149120351708427,LIME,0.02311369793456841,0.9149120351708427,0.8917983372362743,0.8878739206669931,0.7933011450934244
17686,doctor,Rules,0.5405392011694723,SHAP,0.055806335184778566,0.48473286598469373,0.3704638564341932,0.35,0.5405392011694723
17686,patient,Rules,0.49129084483426855,Counterfactual,0.10490770255212706,0.3572102507507123,0.34024259719259,0.3863831422821415,0.49129084483426855
17686,auditor,SHAP,0.6518649959627028,Rules,0.0399051992345385,0.6518649959627028,0.3703966585920722,-0.0611111111111111,0.6119597967281643
17686,model_centric,SHAP,0.8148312449533784,Rules,0.035992610154284344,0.8148312449533784,0.6296624899067569,0.0,0.7788386347990941
14846,doctor,SHAP,0.6993624854485198,LIME,0.0931906184550213,0.6993624854485198,0.6061718669934985,0.34857933177717837,0.11666666666666667
14846,patient,Counterfactual,0.6504211113864671,SHAP,0.1386670826705778,0.5117540287158893,0.43240246919675207,0.6504211113864671,0.31666666666666665
14846,auditor,SHAP,0.8,LIME,0.16305588521855707,0.8,0.636944114781443,0.46790956945255857,6.938893903907228e-18
14846,model_centric,SHAP,1.0,LIME,0.0371531898565296,1.0,0.9628468101434704,0.6682202951490315,0.0
1716,doctor,SHAP,0.5476059006038543,Rules,0.1476059006038543,0.5476059006038543,0.33532138766145125,0.35,0.39999999999999997
1716,patient,Rules,0.6777777777777777,Counterfactual,0.2924367263501687,0.3752879774558152,0.35093452807419423,0.385341051427609,0.6777777777777777
1716,auditor,SHAP,0.6439633374050147,LIME,0.37729667073834794,0.6439633374050147,0.2666666666666667,-0.0611111111111111,-0.00555555555555555
1716,model_centric,SHAP,0.8049541717562683,LIME,0.30495417175626827,0.8049541717562683,0.5,0.0,0.0
10520,doctor,Rules,0.5833333333333333,SHAP,0.05568058812506527,0.527652745208268,0.40239032274483555,0.35,0.5833333333333333
10520,patient,Rules,0.6055555555555555,Counterfactual,0.12207801446147332,0.3351401685737723,0.32687365489105524,0.4834775410940822,0.6055555555555555
10520,auditor,SHAP,0.6666666666666667,Rules,0.07777777777777783,0.6666666666666667,0.4000000000000001,-0.0611111111111111,0.5888888888888889
10520,model_centric,SHAP,0.8333333333333334,Rules,0.08333333333333337,0.8333333333333334,0.6666666666666667,0.0,0.75
14316,doctor,Counterfactual,0.5513114855287164,SHAP,0.07860406509392998,0.4727074204347865,0.43328809949480745,0.5513114855287164,0.39999999999999997
14316,patient,Counterfactual,0.5722731114837118,LIME,0.22621027534104643,0.31718008558886795,0.3460628361426654,0.5722731114837118,0.27777777777777773
14316,auditor,SHAP,0.6175235597258746,LIME,0.16929351456392538,0.6175235597258746,0.4482300451619492,0.3301163197007759,-0.00555555555555555
14316,model_centric,SHAP,0.7719044496573432,LIME,0.0449502265382401,0.7719044496573432,0.7269542231191031,0.48903428851485864,0.0
3177,doctor,SHAP,0.49960935799978023,Counterfactual,0.1781895780930532,0.49960935799978023,0.24726625701240387,0.32141977990672704,0.11666666666666667
3177,patient,Counterfactual,0.5397254250295406,SHAP,0.13464102170842762,0.40508440332111295,0.33939929524422785,0.5397254250295406,0.31666666666666665
3177,auditor,SHAP,0.5333333333333333,Counterfactual,0.37474421289780924,0.5333333333333333,0.018542668942088683,0.1585891204355241,6.938893903907228e-18
3177,model_centric,SHAP,0.6666666666666666,Counterfactual,0.3850969327889282,0.6666666666666666,0.18984500284427752,0.2815697338777384,0.0
857,doctor,SHAP,0.5443660930932918,Rules,0.1443660930932918,0.5443660930932918,0.19068202586565386,0.35,0.39999999999999997
857,patient,Rules,0.6777777777777777,Counterfactual,0.29019385910690826,0.3593273467174014,0.323055699514186,0.38758391867086944,0.6777777777777777
857,auditor,SHAP,0.6666666666666667,Rules,0.6722222222222223,0.6666666666666667,-0.11693634668259884,-0.0611111111111111,-0.00555555555555555
857,model_centric,SHAP,0.8333333333333333,LIME,0.8128371000199152,0.8333333333333333,0.020496233313418117,0.0,0.0
15567,doctor,SHAP,0.5872934752721419,LIME,0.11563775951919636,0.5872934752721419,0.47165571575294557,0.08333333333333333,0.22323360371267226
15567,patient,Rules,0.43400716083351704,LIME,0.11793688606237523,0.2670967168114995,0.3160702747711418,0.2833333333333333,0.43400716083351704
15567,auditor,SHAP,0.6943678628578112,LIME,0.22030207254566297,0.6943678628578112,0.4740657903121482,-0.04999999999999999,0.26406557136115394
15567,model_centric,SHAP,0.8679598285722638,LIME,0.10871092401541205,0.8679598285722638,0.7592489045568518,0.0,0.3509152975347757
19360,doctor,SHAP,0.5841237751926239,LIME,0.08600306808975494,0.5841237751926239,0.498120707102869,0.49190924619504217,0.11666666666666667
19360,patient,Counterfactual,0.4573520063283351,LIME,0.07913240156012852,0.37759429485969126,0.3782196047682066,0.4573520063283351,0.31666666666666665
19360,auditor,SHAP,0.7437508707096292,LIME,0.2460655043084986,0.7437508707096292,0.4976853664011306,0.1772286485623373,6.938893903907228e-18
19360,model_centric,SHAP,0.9296885883870365,LIME,0.14091521371895666,0.9296885883870365,0.7887733746680798,0.2979246995918105,0.0
6153,doctor,Counterfactual,0.7494465132056038,SHAP,0.0700008351826591,0.6794456780229448,0.5241681643537951,0.7494465132056038,0.6290510541829043
6153,patient,Counterfactual,0.7720377266240901,Rules,0.15600483554724898,0.47684481823281,0.42852871850947505,0.7720377266240901,0.6160328910768411
